Labour market region (SA4): ASGS (2011),Date,Percent of Total Workers,sa4_code_2011
603 Tasmania - South East,1/8/05,26.98,603
604 Tasmania - West and North West,1/8/05,27.26,604
701 Darwin,1/8/05,29.85,701
702 Northern Territory - Outback,1/8/05,31.5,702
801 Australian Capital Territory,1/8/05,41.43,801
102 Central Coast,1/8/06,27.79,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/06,42.27,115
116 Sydney - Blacktown,1/8/06,21.52,116
117 Sydney - City and Inner South,1/8/06,44.27,117
118 Sydney - Eastern Suburbs,1/8/06,55.78,118
119 Sydney - Inner South West,1/8/06,29.01,119
120 Sydney - Inner West,1/8/06,44.11,120
121 Sydney - North Sydney and Hornsby,1/8/06,53.24,121
122 Sydney - Northern Beaches,1/8/06,43.8,122
123 Sydney - Outer South West,1/8/06,24.48,123
124 Sydney - Outer West and Blue Mountains,1/8/06,28,124
125 Sydney - Parramatta,1/8/06,32.04,125
126 Sydney - Ryde,1/8/06,48.3,126
127 Sydney - South West,1/8/06,24.87,127
128 Sydney - Sutherland,1/8/06,35.49,128
101 Capital Region,1/8/06,32.41,101
103 New South Wales - Central West,1/8/06,32.91,103
104 Coffs Harbour - Grafton,1/8/06,25.02,104
105 Far West and Orana,1/8/06,37.74,105
106 Hunter Valley exc Newcastle,1/8/06,21.9,106
107 Illawarra,1/8/06,30.25,107
108 Mid North Coast,1/8/06,24.45,108
109 Murray,1/8/06,29.47,109
110 New England and North West,1/8/06,32.25,110
111 Newcastle and Lake Macquarie,1/8/06,27.66,111
112 Richmond - Tweed,1/8/06,31.67,112
113 Riverina,1/8/06,33.84,113
114 Southern Highlands and Shoalhaven,1/8/06,34.26,114
206 Melbourne - Inner,1/8/06,52.48,206
207 Melbourne - Inner East,1/8/06,48.94,207
208 Melbourne - Inner South,1/8/06,47.47,208
209 Melbourne - North East,1/8/06,30.02,209
210 Melbourne - North West,1/8/06,21.87,210
211 Melbourne - Outer East,1/8/06,30.68,211
212 Melbourne - South East,1/8/06,27.94,212
213 Melbourne - West,1/8/06,24.41,213
214 Mornington Peninsula,1/8/06,23.91,214
201 Ballarat,1/8/06,32.1,201
202 Bendigo,1/8/06,34.84,202
203 Geelong,1/8/06,32.64,203
204 Hume,1/8/06,29.87,204
205 Latrobe - Gippsland,1/8/06,28.85,205
215 Victoria - North West,1/8/06,40.79,215
216 Shepparton,1/8/06,27.32,216
217 Warrnambool and South West,1/8/06,33.89,217
301 Brisbane - East,1/8/06,28.22,301
302 Brisbane - North,1/8/06,28.36,302
303 Brisbane - South,1/8/06,37.97,303
304 Brisbane - West,1/8/06,45.52,304
305 Brisbane Inner City,1/8/06,51.23,305
310 Ipswich,1/8/06,19.88,310
311 Logan - Beaudesert,1/8/06,18.01,311
313 Moreton Bay - North,1/8/06,21.21,313
314 Moreton Bay - South,1/8/06,28.37,314
306 Cairns,1/8/06,26.15,306
307 Darling Downs - Maranoa,1/8/06,31.26,307
308 Fitzroy,1/8/06,23.62,308
309 Gold Coast,1/8/06,28.96,309
312 Mackay,1/8/06,25.03,312
315 Queensland - Outback,1/8/06,26.57,315
316 Sunshine Coast,1/8/06,28.76,316
317 Toowoomba,1/8/06,29.97,317
318 Townsville,1/8/06,25.33,318
319 Wide Bay,1/8/06,30.26,319
401 Adelaide - Central and Hills,1/8/06,45.1,401
402 Adelaide - North,1/8/06,21.84,402
403 Adelaide - South,1/8/06,31.97,403
404 Adelaide - West,1/8/06,32.01,404
405 Barossa - Yorke - Mid North,1/8/06,28.43,405
406 South Australia - Outback,1/8/06,26.61,406
407 South Australia - South East,1/8/06,31,407
502 Mandurah,1/8/06,18.3,502
503 Perth - Inner,1/8/06,58.02,503
504 Perth - North East,1/8/06,26.93,504
505 Perth - North West,1/8/06,29.26,505
506 Perth - South East,1/8/06,27.97,506
507 Perth - South West,1/8/06,28.88,507
501 Bunbury,1/8/06,27.49,501
508 Western Australia - Outback,1/8/06,30.97,508
509 Western Australia - Wheat Belt,1/8/06,31.15,509
601 Hobart,1/8/06,33.71,601
602 Launceston and North East,1/8/06,28.71,602
603 Tasmania - South East,1/8/06,33.29,603
604 Tasmania - West and North West,1/8/06,24.05,604
701 Darwin,1/8/06,30.38,701
702 Northern Territory - Outback,1/8/06,28.86,702
801 Australian Capital Territory,1/8/06,43.41,801
102 Central Coast,1/8/07,24.2,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/07,44.48,115
116 Sydney - Blacktown,1/8/07,24.68,116
117 Sydney - City and Inner South,1/8/07,48.03,117
118 Sydney - Eastern Suburbs,1/8/07,53.35,118
119 Sydney - Inner South West,1/8/07,28.52,119
120 Sydney - Inner West,1/8/07,47.13,120
121 Sydney - North Sydney and Hornsby,1/8/07,54.89,121
122 Sydney - Northern Beaches,1/8/07,44.73,122
123 Sydney - Outer South West,1/8/07,22.83,123
124 Sydney - Outer West and Blue Mountains,1/8/07,31.87,124
125 Sydney - Parramatta,1/8/07,31.11,125
126 Sydney - Ryde,1/8/07,49.14,126
127 Sydney - South West,1/8/07,20.98,127
128 Sydney - Sutherland,1/8/07,35.68,128
101 Capital Region,1/8/07,29.49,101
103 New South Wales - Central West,1/8/07,35.4,103
104 Coffs Harbour - Grafton,1/8/07,29.27,104
105 Far West and Orana,1/8/07,35.87,105
106 Hunter Valley exc Newcastle,1/8/07,22.32,106
107 Illawarra,1/8/07,24.14,107
108 Mid North Coast,1/8/07,25.37,108
109 Murray,1/8/07,28.18,109
110 New England and North West,1/8/07,37.62,110
111 Newcastle and Lake Macquarie,1/8/07,29.45,111
112 Richmond - Tweed,1/8/07,32.75,112
113 Riverina,1/8/07,32.37,113
114 Southern Highlands and Shoalhaven,1/8/07,31.1,114
206 Melbourne - Inner,1/8/07,50.92,206
207 Melbourne - Inner East,1/8/07,49.75,207
208 Melbourne - Inner South,1/8/07,48.75,208
209 Melbourne - North East,1/8/07,31.64,209
210 Melbourne - North West,1/8/07,23.27,210
211 Melbourne - Outer East,1/8/07,29.88,211
212 Melbourne - South East,1/8/07,26.53,212
213 Melbourne - West,1/8/07,25.28,213
214 Mornington Peninsula,1/8/07,28.19,214
201 Ballarat,1/8/07,26.88,201
202 Bendigo,1/8/07,29.76,202
203 Geelong,1/8/07,31.12,203
204 Hume,1/8/07,28.16,204
205 Latrobe - Gippsland,1/8/07,26.95,205
215 Victoria - North West,1/8/07,38.94,215
216 Shepparton,1/8/07,37.17,216
217 Warrnambool and South West,1/8/07,34.1,217
301 Brisbane - East,1/8/07,26.67,301
302 Brisbane - North,1/8/07,29.72,302
303 Brisbane - South,1/8/07,37.15,303
304 Brisbane - West,1/8/07,47.04,304
305 Brisbane Inner City,1/8/07,49.76,305
310 Ipswich,1/8/07,21.29,310
311 Logan - Beaudesert,1/8/07,20.8,311
313 Moreton Bay - North,1/8/07,20.99,313
314 Moreton Bay - South,1/8/07,26.87,314
306 Cairns,1/8/07,25.63,306
307 Darling Downs - Maranoa,1/8/07,34.27,307
308 Fitzroy,1/8/07,24.63,308
309 Gold Coast,1/8/07,27.49,309
312 Mackay,1/8/07,26.64,312
315 Queensland - Outback,1/8/07,29.75,315
316 Sunshine Coast,1/8/07,28.89,316
317 Toowoomba,1/8/07,30.99,317
318 Townsville,1/8/07,23.3,318
319 Wide Bay,1/8/07,27.1,319
401 Adelaide - Central and Hills,1/8/07,45.02,401
402 Adelaide - North,1/8/07,22.89,402
403 Adelaide - South,1/8/07,30.2,403
404 Adelaide - West,1/8/07,30.42,404
405 Barossa - Yorke - Mid North,1/8/07,32,405
406 South Australia - Outback,1/8/07,23.64,406
407 South Australia - South East,1/8/07,32.62,407
502 Mandurah,1/8/07,23.35,502
503 Perth - Inner,1/8/07,56.98,503
504 Perth - North East,1/8/07,25.01,504
505 Perth - North West,1/8/07,31.68,505
506 Perth - South East,1/8/07,30.79,506
507 Perth - South West,1/8/07,30.83,507
501 Bunbury,1/8/07,24.59,501
508 Western Australia - Outback,1/8/07,25.43,508
509 Western Australia - Wheat Belt,1/8/07,34.11,509
601 Hobart,1/8/07,33.1,601
602 Launceston and North East,1/8/07,30.27,602
603 Tasmania - South East,1/8/07,31.22,603
604 Tasmania - West and North West,1/8/07,22.99,604
701 Darwin,1/8/07,34.19,701
702 Northern Territory - Outback,1/8/07,28.74,702
801 Australian Capital Territory,1/8/07,43.79,801
102 Central Coast,1/8/08,26.63,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/08,41.88,115
116 Sydney - Blacktown,1/8/08,25.44,116
117 Sydney - City and Inner South,1/8/08,48.3,117
118 Sydney - Eastern Suburbs,1/8/08,52.24,118
119 Sydney - Inner South West,1/8/08,27.06,119
120 Sydney - Inner West,1/8/08,46.1,120
121 Sydney - North Sydney and Hornsby,1/8/08,58.57,121
122 Sydney - Northern Beaches,1/8/08,48.33,122
123 Sydney - Outer South West,1/8/08,22.85,123
124 Sydney - Outer West and Blue Mountains,1/8/08,29.94,124
125 Sydney - Parramatta,1/8/08,34.34,125
126 Sydney - Ryde,1/8/08,50.51,126
127 Sydney - South West,1/8/08,21.46,127
128 Sydney - Sutherland,1/8/08,37.95,128
101 Capital Region,1/8/08,35.11,101
103 New South Wales - Central West,1/8/08,25.78,103
104 Coffs Harbour - Grafton,1/8/08,28.41,104
105 Far West and Orana,1/8/08,43.28,105
106 Hunter Valley exc Newcastle,1/8/08,19.44,106
107 Illawarra,1/8/08,28.62,107
108 Mid North Coast,1/8/08,24.69,108
109 Murray,1/8/08,27.84,109
110 New England and North West,1/8/08,37.09,110
111 Newcastle and Lake Macquarie,1/8/08,31.7,111
112 Richmond - Tweed,1/8/08,30.82,112
113 Riverina,1/8/08,28.4,113
114 Southern Highlands and Shoalhaven,1/8/08,32.5,114
206 Melbourne - Inner,1/8/08,53.47,206
207 Melbourne - Inner East,1/8/08,48.73,207
208 Melbourne - Inner South,1/8/08,51.71,208
209 Melbourne - North East,1/8/08,32.34,209
210 Melbourne - North West,1/8/08,28.1,210
211 Melbourne - Outer East,1/8/08,34.06,211
212 Melbourne - South East,1/8/08,27.61,212
213 Melbourne - West,1/8/08,25.45,213
214 Mornington Peninsula,1/8/08,24.35,214
201 Ballarat,1/8/08,24.88,201
202 Bendigo,1/8/08,34.74,202
203 Geelong,1/8/08,32.28,203
204 Hume,1/8/08,29.41,204
205 Latrobe - Gippsland,1/8/08,29.12,205
215 Victoria - North West,1/8/08,32,215
216 Shepparton,1/8/08,30.88,216
217 Warrnambool and South West,1/8/08,29.42,217
301 Brisbane - East,1/8/08,24.64,301
302 Brisbane - North,1/8/08,30.06,302
303 Brisbane - South,1/8/08,36.04,303
304 Brisbane - West,1/8/08,50.24,304
305 Brisbane Inner City,1/8/08,50.28,305
310 Ipswich,1/8/08,22.86,310
311 Logan - Beaudesert,1/8/08,22.74,311
313 Moreton Bay - North,1/8/08,23.3,313
314 Moreton Bay - South,1/8/08,34.53,314
306 Cairns,1/8/08,23.12,306
307 Darling Downs - Maranoa,1/8/08,35.23,307
308 Fitzroy,1/8/08,25.91,308
309 Gold Coast,1/8/08,26.96,309
312 Mackay,1/8/08,28.34,312
315 Queensland - Outback,1/8/08,32.75,315
316 Sunshine Coast,1/8/08,29.33,316
317 Toowoomba,1/8/08,31.33,317
318 Townsville,1/8/08,24.37,318
319 Wide Bay,1/8/08,28.68,319
401 Adelaide - Central and Hills,1/8/08,45.46,401
402 Adelaide - North,1/8/08,25.43,402
403 Adelaide - South,1/8/08,32.74,403
404 Adelaide - West,1/8/08,30.47,404
405 Barossa - Yorke - Mid North,1/8/08,33.96,405
406 South Australia - Outback,1/8/08,30.14,406
407 South Australia - South East,1/8/08,29.31,407
502 Mandurah,1/8/08,20.98,502
503 Perth - Inner,1/8/08,57.3,503
504 Perth - North East,1/8/08,28.02,504
505 Perth - North West,1/8/08,34.14,505
506 Perth - South East,1/8/08,27.95,506
507 Perth - South West,1/8/08,32.29,507
501 Bunbury,1/8/08,23.89,501
508 Western Australia - Outback,1/8/08,28.19,508
509 Western Australia - Wheat Belt,1/8/08,35.18,509
601 Hobart,1/8/08,35.28,601
602 Launceston and North East,1/8/08,30.47,602
603 Tasmania - South East,1/8/08,31.09,603
604 Tasmania - West and North West,1/8/08,23.62,604
701 Darwin,1/8/08,33.26,701
702 Northern Territory - Outback,1/8/08,27.86,702
801 Australian Capital Territory,1/8/08,44.36,801
102 Central Coast,1/8/09,28.94,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/09,42.74,115
116 Sydney - Blacktown,1/8/09,25.13,116
117 Sydney - City and Inner South,1/8/09,52.61,117
118 Sydney - Eastern Suburbs,1/8/09,51.41,118
119 Sydney - Inner South West,1/8/09,28.18,119
120 Sydney - Inner West,1/8/09,44.48,120
121 Sydney - North Sydney and Hornsby,1/8/09,56.42,121
122 Sydney - Northern Beaches,1/8/09,43.61,122
123 Sydney - Outer South West,1/8/09,23.62,123
124 Sydney - Outer West and Blue Mountains,1/8/09,29.46,124
125 Sydney - Parramatta,1/8/09,33.31,125
126 Sydney - Ryde,1/8/09,49.19,126
127 Sydney - South West,1/8/09,19.86,127
128 Sydney - Sutherland,1/8/09,36.41,128
101 Capital Region,1/8/09,39.6,101
103 New South Wales - Central West,1/8/09,24.47,103
104 Coffs Harbour - Grafton,1/8/09,27.22,104
105 Far West and Orana,1/8/09,42.6,105
106 Hunter Valley exc Newcastle,1/8/09,27.24,106
107 Illawarra,1/8/09,30.12,107
108 Mid North Coast,1/8/09,31.81,108
109 Murray,1/8/09,30.88,109
110 New England and North West,1/8/09,34.42,110
111 Newcastle and Lake Macquarie,1/8/09,31.73,111
112 Richmond - Tweed,1/8/09,29.9,112
113 Riverina,1/8/09,25.69,113
114 Southern Highlands and Shoalhaven,1/8/09,29.45,114
206 Melbourne - Inner,1/8/09,52.85,206
207 Melbourne - Inner East,1/8/09,48.56,207
208 Melbourne - Inner South,1/8/09,47.52,208
209 Melbourne - North East,1/8/09,33.14,209
210 Melbourne - North West,1/8/09,23.18,210
211 Melbourne - Outer East,1/8/09,33.72,211
212 Melbourne - South East,1/8/09,28.52,212
213 Melbourne - West,1/8/09,28.42,213
214 Mornington Peninsula,1/8/09,26.69,214
201 Ballarat,1/8/09,28.06,201
202 Bendigo,1/8/09,33.54,202
203 Geelong,1/8/09,30.98,203
204 Hume,1/8/09,24.2,204
205 Latrobe - Gippsland,1/8/09,32.57,205
215 Victoria - North West,1/8/09,33.16,215
216 Shepparton,1/8/09,31.55,216
217 Warrnambool and South West,1/8/09,25.76,217
301 Brisbane - East,1/8/09,29.6,301
302 Brisbane - North,1/8/09,30.65,302
303 Brisbane - South,1/8/09,36.94,303
304 Brisbane - West,1/8/09,57.29,304
305 Brisbane Inner City,1/8/09,51.03,305
310 Ipswich,1/8/09,20.74,310
311 Logan - Beaudesert,1/8/09,21.35,311
313 Moreton Bay - North,1/8/09,24.14,313
314 Moreton Bay - South,1/8/09,33.2,314
306 Cairns,1/8/09,23.92,306
307 Darling Downs - Maranoa,1/8/09,36.22,307
308 Fitzroy,1/8/09,17.38,308
309 Gold Coast,1/8/09,27.57,309
312 Mackay,1/8/09,26.34,312
315 Queensland - Outback,1/8/09,31.6,315
316 Sunshine Coast,1/8/09,30.95,316
317 Toowoomba,1/8/09,29.04,317
318 Townsville,1/8/09,28.14,318
319 Wide Bay,1/8/09,24.67,319
401 Adelaide - Central and Hills,1/8/09,46.88,401
402 Adelaide - North,1/8/09,24.06,402
403 Adelaide - South,1/8/09,30.73,403
404 Adelaide - West,1/8/09,29.44,404
405 Barossa - Yorke - Mid North,1/8/09,34.55,405
406 South Australia - Outback,1/8/09,26.3,406
407 South Australia - South East,1/8/09,38.7,407
502 Mandurah,1/8/09,22.34,502
503 Perth - Inner,1/8/09,48.61,503
504 Perth - North East,1/8/09,30.27,504
505 Perth - North West,1/8/09,30.93,505
506 Perth - South East,1/8/09,30.01,506
507 Perth - South West,1/8/09,32.1,507
501 Bunbury,1/8/09,27.46,501
508 Western Australia - Outback,1/8/09,27.66,508
509 Western Australia - Wheat Belt,1/8/09,32.01,509
601 Hobart,1/8/09,36.23,601
602 Launceston and North East,1/8/09,30.11,602
603 Tasmania - South East,1/8/09,30.17,603
604 Tasmania - West and North West,1/8/09,26.91,604
701 Darwin,1/8/09,34.8,701
702 Northern Territory - Outback,1/8/09,30.45,702
801 Australian Capital Territory,1/8/09,46.05,801
102 Central Coast,1/8/10,29.56,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/10,43.67,115
116 Sydney - Blacktown,1/8/10,27.09,116
117 Sydney - City and Inner South,1/8/10,51.36,117
118 Sydney - Eastern Suburbs,1/8/10,56.7,118
119 Sydney - Inner South West,1/8/10,30.86,119
120 Sydney - Inner West,1/8/10,51.21,120
121 Sydney - North Sydney and Hornsby,1/8/10,59.49,121
122 Sydney - Northern Beaches,1/8/10,48.35,122
123 Sydney - Outer South West,1/8/10,26.5,123
124 Sydney - Outer West and Blue Mountains,1/8/10,28.28,124
125 Sydney - Parramatta,1/8/10,33.74,125
126 Sydney - Ryde,1/8/10,46.95,126
127 Sydney - South West,1/8/10,20.74,127
128 Sydney - Sutherland,1/8/10,39.62,128
101 Capital Region,1/8/10,39.61,101
103 New South Wales - Central West,1/8/10,32.79,103
104 Coffs Harbour - Grafton,1/8/10,27.1,104
105 Far West and Orana,1/8/10,35.12,105
106 Hunter Valley exc Newcastle,1/8/10,24.65,106
107 Illawarra,1/8/10,33.01,107
108 Mid North Coast,1/8/10,28.74,108
109 Murray,1/8/10,31.12,109
110 New England and North West,1/8/10,33.37,110
111 Newcastle and Lake Macquarie,1/8/10,32.83,111
112 Richmond - Tweed,1/8/10,30.99,112
113 Riverina,1/8/10,26.77,113
114 Southern Highlands and Shoalhaven,1/8/10,32.96,114
206 Melbourne - Inner,1/8/10,56.08,206
207 Melbourne - Inner East,1/8/10,48.68,207
208 Melbourne - Inner South,1/8/10,47.3,208
209 Melbourne - North East,1/8/10,37.97,209
210 Melbourne - North West,1/8/10,26.02,210
211 Melbourne - Outer East,1/8/10,34.43,211
212 Melbourne - South East,1/8/10,29.73,212
213 Melbourne - West,1/8/10,29.08,213
214 Mornington Peninsula,1/8/10,29.91,214
201 Ballarat,1/8/10,30.29,201
202 Bendigo,1/8/10,33.72,202
203 Geelong,1/8/10,29.35,203
204 Hume,1/8/10,34.23,204
205 Latrobe - Gippsland,1/8/10,32.31,205
215 Victoria - North West,1/8/10,34.44,215
216 Shepparton,1/8/10,28.81,216
217 Warrnambool and South West,1/8/10,29.85,217
301 Brisbane - East,1/8/10,31.77,301
302 Brisbane - North,1/8/10,34.3,302
303 Brisbane - South,1/8/10,37.49,303
304 Brisbane - West,1/8/10,50.07,304
305 Brisbane Inner City,1/8/10,49.77,305
310 Ipswich,1/8/10,22.07,310
311 Logan - Beaudesert,1/8/10,20.15,311
313 Moreton Bay - North,1/8/10,27.12,313
314 Moreton Bay - South,1/8/10,33.67,314
306 Cairns,1/8/10,24.35,306
307 Darling Downs - Maranoa,1/8/10,38.14,307
308 Fitzroy,1/8/10,23.76,308
309 Gold Coast,1/8/10,30.17,309
312 Mackay,1/8/10,23.58,312
315 Queensland - Outback,1/8/10,31.09,315
316 Sunshine Coast,1/8/10,33.05,316
317 Toowoomba,1/8/10,36.59,317
318 Townsville,1/8/10,26.44,318
319 Wide Bay,1/8/10,28.59,319
401 Adelaide - Central and Hills,1/8/10,47.45,401
402 Adelaide - North,1/8/10,25.69,402
403 Adelaide - South,1/8/10,33.45,403
404 Adelaide - West,1/8/10,30.63,404
405 Barossa - Yorke - Mid North,1/8/10,32.12,405
406 South Australia - Outback,1/8/10,30.6,406
407 South Australia - South East,1/8/10,32.17,407
502 Mandurah,1/8/10,19.91,502
503 Perth - Inner,1/8/10,52.69,503
504 Perth - North East,1/8/10,30.95,504
505 Perth - North West,1/8/10,31.69,505
506 Perth - South East,1/8/10,29.32,506
507 Perth - South West,1/8/10,32.86,507
501 Bunbury,1/8/10,22.16,501
508 Western Australia - Outback,1/8/10,26.74,508
509 Western Australia - Wheat Belt,1/8/10,39.71,509
601 Hobart,1/8/10,36.14,601
602 Launceston and North East,1/8/10,28.88,602
603 Tasmania - South East,1/8/10,35.07,603
604 Tasmania - West and North West,1/8/10,25.01,604
701 Darwin,1/8/10,33.88,701
702 Northern Territory - Outback,1/8/10,30.94,702
801 Australian Capital Territory,1/8/10,46.31,801
102 Central Coast,1/8/11,29.08,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/11,41.79,115
116 Sydney - Blacktown,1/8/11,26.08,116
117 Sydney - City and Inner South,1/8/11,52.25,117
118 Sydney - Eastern Suburbs,1/8/11,51.43,118
119 Sydney - Inner South West,1/8/11,31.84,119
120 Sydney - Inner West,1/8/11,46.91,120
121 Sydney - North Sydney and Hornsby,1/8/11,60.31,121
122 Sydney - Northern Beaches,1/8/11,49.27,122
123 Sydney - Outer South West,1/8/11,27.72,123
124 Sydney - Outer West and Blue Mountains,1/8/11,26.49,124
125 Sydney - Parramatta,1/8/11,32.85,125
126 Sydney - Ryde,1/8/11,45.63,126
127 Sydney - South West,1/8/11,22.19,127
128 Sydney - Sutherland,1/8/11,37.22,128
101 Capital Region,1/8/11,35.93,101
103 New South Wales - Central West,1/8/11,30.46,103
104 Coffs Harbour - Grafton,1/8/11,27.84,104
105 Far West and Orana,1/8/11,35.55,105
106 Hunter Valley exc Newcastle,1/8/11,21.33,106
107 Illawarra,1/8/11,31.36,107
108 Mid North Coast,1/8/11,28.26,108
109 Murray,1/8/11,41.25,109
110 New England and North West,1/8/11,29.01,110
111 Newcastle and Lake Macquarie,1/8/11,31.85,111
112 Richmond - Tweed,1/8/11,32.86,112
113 Riverina,1/8/11,30.75,113
114 Southern Highlands and Shoalhaven,1/8/11,28.82,114
206 Melbourne - Inner,1/8/11,53.03,206
207 Melbourne - Inner East,1/8/11,53.57,207
208 Melbourne - Inner South,1/8/11,49.43,208
209 Melbourne - North East,1/8/11,34.49,209
210 Melbourne - North West,1/8/11,27.65,210
211 Melbourne - Outer East,1/8/11,31.33,211
212 Melbourne - South East,1/8/11,28.02,212
213 Melbourne - West,1/8/11,27.17,213
214 Mornington Peninsula,1/8/11,29.1,214
201 Ballarat,1/8/11,28.83,201
202 Bendigo,1/8/11,34.83,202
203 Geelong,1/8/11,29.38,203
204 Hume,1/8/11,28.89,204
205 Latrobe - Gippsland,1/8/11,33.7,205
215 Victoria - North West,1/8/11,34.69,215
216 Shepparton,1/8/11,23.96,216
217 Warrnambool and South West,1/8/11,27.22,217
301 Brisbane - East,1/8/11,29.65,301
302 Brisbane - North,1/8/11,36.07,302
303 Brisbane - South,1/8/11,39.41,303
304 Brisbane - West,1/8/11,52.01,304
305 Brisbane Inner City,1/8/11,49.82,305
310 Ipswich,1/8/11,27.54,310
311 Logan - Beaudesert,1/8/11,23.98,311
313 Moreton Bay - North,1/8/11,21.15,313
314 Moreton Bay - South,1/8/11,34.24,314
306 Cairns,1/8/11,26.44,306
307 Darling Downs - Maranoa,1/8/11,34.06,307
308 Fitzroy,1/8/11,24.14,308
309 Gold Coast,1/8/11,29.82,309
312 Mackay,1/8/11,24.4,312
315 Queensland - Outback,1/8/11,36.18,315
316 Sunshine Coast,1/8/11,31.33,316
317 Toowoomba,1/8/11,36.38,317
318 Townsville,1/8/11,27.25,318
319 Wide Bay,1/8/11,23.82,319
401 Adelaide - Central and Hills,1/8/11,45.16,401
402 Adelaide - North,1/8/11,25.32,402
403 Adelaide - South,1/8/11,34.65,403
404 Adelaide - West,1/8/11,29.3,404
405 Barossa - Yorke - Mid North,1/8/11,33.93,405
